,Titel,URL
0,FEED Parkleitsystem Stadt Zürich,http://www.plszh.ch/plsFeed/rss
1,Parkgarage am Central / Seilergraben,http://www.plszh.ch/plsNeu/parkhaus/central.jsp?pid=central
2,Parkhaus Accu / Otto-Schütz-Weg,http://www.plszh.ch/plsNeu/parkhaus/accu.jsp?pid=accu
3,Parkhaus Albisriederplatz / Badenerstrasse 380,http://www.plszh.ch/plsNeu/parkhaus/albisriederplatz.jsp?pid=albisriederplatz
4,Parkhaus Bleicherweg / Beethovenstrasse 35,http://www.plszh.ch/plsNeu/parkhaus/bleicherweg.jsp?pid=bleicherweg
5,Parkhaus Center Eleven / Sophie-Täuber-Strasse 4,http://www.plszh.ch/plsNeu/parkhaus/center_11.jsp?pid=center_11
6,Parkhaus City Parking / Gessnerallee 14,http://www.plszh.ch/plsNeu/parkhaus/cp.jsp?pid=cp
7,Parkhaus Cityport / Affolternstrasse 56,http://www.plszh.ch/plsNeu/parkhaus/cityport.jsp?pid=cityport
8,Parkhaus Crowne Plaza / Badenerstrasse 420,http://www.plszh.ch/plsNeu/parkhaus/crowne_plaza.jsp?pid=crowne_plaza
9,Parkhaus Dorflinde / Schwamendingenstrasse 31,http://www.plszh.ch/plsNeu/parkhaus/dorflinde.jsp?pid=dorflinde
10,Parkhaus Feldegg / Riesbachstrasse 7,http://www.plszh.ch/plsNeu/parkhaus/feldegg.jsp?pid=feldegg
11,Parkhaus Globus / Löwenstrasse 50,http://www.plszh.ch/plsNeu/parkhaus/globus.jsp?pid=globus
12,Parkhaus Hardau II / Bullingerstrasse 73,http://www.plszh.ch/plsNeu/parkhaus/hardau.jsp?pid=hardau
13,Parkhaus Hauptbahnhof / Sihlquai 41,http://www.plszh.ch/plsNeu/parkhaus/hb.jsp?pid=hb
14,Parkhaus Hohe Promenade / Rämistrasse 22a,http://www.plszh.ch/plsNeu/parkhaus/promenade.jsp?pid=promenade
15,Parkhaus Jelmoli / Steinmühleplatz 1,http://www.plszh.ch/plsNeu/parkhaus/jelmoli.jsp?pid=jelmoli
16,Parkhaus Jungholz / Jungholzstrasse 19,http://www.plszh.ch/plsNeu/parkhaus/jungholz.jsp?pid=jungholz
17,Parkhaus Max-Bill-Platz / Armin-Bollinger-Weg,http://www.plszh.ch/plsNeu/parkhaus/max_bill_platz.jsp?pid=max_bill_platz
18,Parkhaus Messe Zürich AG / Andreasstrasse 65,http://www.plszh.ch/plsNeu/parkhaus/messe.jsp?pid=messe
19,Parkhaus Nordhaus / Siewerdtstrasse 8,http://www.plszh.ch/plsNeu/parkhaus/nordhaus.jsp?pid=nordhaus
20,Parkhaus Octavo / Brown-Boveri-Strasse 2,http://www.plszh.ch/plsNeu/parkhaus/octavo.jsp?pid=octavo
21,Parkhaus Opéra / Schillerstrasse 5,http://www.plszh.ch/plsNeu/parkhaus/opera.jsp?pid=opera
22,Parkhaus P West / Förrlibuckstrasse 151,http://www.plszh.ch/plsNeu/parkhaus/p_west.jsp?pid=p_west
23,Parkhaus Park Hyatt / Beethovenstrasse 21,http://www.plszh.ch/plsNeu/parkhaus/park_hyatt.jsp?pid=park_hyatt
24,Parkhaus Parkside / Sophie-Täuber-Strasse 10,http://www.plszh.ch/plsNeu/parkhaus/parkside.jsp?pid=parkside
25,Parkhaus Pfingstweid / Pfingstweidstrasse 1,http://www.plszh.ch/plsNeu/parkhaus/pfingstweid.jsp?pid=pfingstweid
26,Parkhaus Stampfenbach / Niklausstrasse 1,http://www.plszh.ch/plsNeu/parkhaus/stampfenbach.jsp?pid=stampfenbach
27,Parkhaus Talgarten / Nüschelerstrasse 31,http://www.plszh.ch/plsNeu/parkhaus/talgarten.jsp?pid=talgarten
28,Parkhaus USZ Nord / Frauenklinikstrasse,http://www.plszh.ch/plsNeu/parkhaus/unispital_nord.jsp?pid=unispital_nord
29,Parkhaus Uni Irchel / Winterthurerstrasse 181,http://www.plszh.ch/plsNeu/parkhaus/uni_irchel.jsp?pid=uni_irchel
30,Parkhaus Urania / Uraniastrasse 3,http://www.plszh.ch/plsNeu/parkhaus/urania.jsp?pid=urania
31,Parkhaus Utoquai / Färberstrasse 6,http://www.plszh.ch/plsNeu/parkhaus/utoquai.jsp?pid=utoquai
32,Parkhaus Züri 11 Shopping / Nansenstrasse 5/7,http://www.plszh.ch/plsNeu/parkhaus/zueri11.jsp?pid=zueri11
33,Parkhaus Zürichhorn / Dufourstrasse 142,http://www.plszh.ch/plsNeu/parkhaus/zuerichhorn.jsp?pid=zuerichhorn
34,Parkplatz Eisfeld / Thurgauerstrasse 54,http://www.plszh.ch/plsNeu/parkhaus/eisfeld.jsp?pid=eisfeld
35,Parkplatz Theater 11 / Dörfli-/Thurgauerstrasse,http://www.plszh.ch/plsNeu/parkhaus/theater_11.jsp?pid=theater_11
36,Parkplatz USZ Süd / Gloriastrasse,http://www.plszh.ch/plsNeu/parkhaus/unispital_sued.jsp?pid=unispital_sued
37,Puls 5 Parkgarage / Giessereistrasse 18,http://www.plszh.ch/plsNeu/parkhaus/puls5.jsp?pid=puls5
